"","coords_from_city","state_code","county","FIPS","latitude","longitude","cty_id","Median_Age","Dpercent_2008","Rpercent_2008","Dvote_2008","Rvote_2008","Dpercent_2012","Rpercent_2012","Dvote_2012","Rvote_2012","County_Category_2008","County_Category_2012","overall_LS","percent_female","population_density","percent_white","percent_hispanic","percent_black","mean_income","log_mean_income","percent_asian","percent_bachelors","median_income","Rpercent_diff_squared","Rpercent_diff_abs"
"70","Kodiak","AK","Kodiak Island",2150,57.79,-152.40722,2150,32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,2.1,54,8.8,1.7,73525,11.2054,17.4,20.7,59655,NA,NA
"71","Newhalen","AK","Lake and Peninsula",2164,59.72,-154.89722,2164,30.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.3,0.1,20.3,2,0.1,53475,10.887,1,17.3,41458,NA,NA
"72","Knik-Fairview","AK","Matanuska Susitna",2170,61.51262,-149.60012,2170,34.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.3,3.6,83.5,3.8,1.4,76128,11.2402,1.1,19.9,66052,NA,NA
"73","Nome","AK","Nome",2180,64.50111,-165.40639,2180,27.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.7,0.4,16.8,2.4,0.6,66839,11.11,1.3,15.1,55766,NA,NA
"74","Barrow","AK","North Slope",2185,71.29058,-156.78872,2185,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.4,0.1,12.6,8.6,1.2,76066,11.2394,7.9,19.4,66556,NA,NA
"75","Kotzebue","AK","Northwest Arctic",2188,66.89833,-162.59667,2188,25.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.4,0.2,11.4,6.2,0.7,66619,11.1067,1,13.2,57885,NA,NA
"76","Sitka","AK","Sitka",2220,57.05306,-135.33,2220,38.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.5,3.1,63.3,5.3,0.4,74862,11.2234,5.4,26.2,58895,NA,NA
"77","Deltana","AK","Southeast Fairbanks",2240,63.87217,-145.21773,2240,37.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.3,0.3,77,4.5,2.4,69350,11.1469,0.7,16.6,59407,NA,NA
"78","Valdez","AK","Valdez Cordova",2261,61.13083,-146.34833,2261,39.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.6,0.3,70.1,4.5,0.5,69691,11.1518,5.4,22,55952,NA,NA
"79","Hooper Bay","AK","Wade Hampton",2270,61.53111,-166.09667,2270,21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.1,0.4,6,2,0.3,46734,10.7522,0.1,11.2,36712,NA,NA
"80","Yakutat","AK","Yakutat",2282,59.54694,-139.72722,2282,39.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.6,0.1,47.6,1.2,0.1,78528,11.2712,1.9,17,66250,NA,NA
"81","Fort Yukon","AK","Yukon-Koyukuk",2290,66.56472,-145.27389,2290,35.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8,0,24.3,2.5,0.4,45892,10.734,0.4,12.9,33716,NA,NA
"82","Eagar","AZ","Apache County",4001,34.11116,-109.29148,4001,32.4,63.4,35.2,15390,8551,66.1,32.2,16833,8198,1,1,3.3506422049,50.1,6.4,19.6,6.3,1.7,38792,10.566,0.5,9.7,28378,NA,NA
"83","Sierra Vista","AZ","Cochise County",4003,31.55454,-110.30369,4003,39.7,38.7,59.5,18943,29026,37.1,61.1,16223,26742,3,3,3.4068330875,49,21.3,58.6,32.1,5.1,57505,10.9596,2,21.6,43304,NA,NA
"84","Flagstaff","AZ","Coconino County",4005,35.19807,-111.65127,4005,31,57.8,40.7,31433,22186,56.3,41.4,26316,19368,1,1,3.4624024044,50.4,7.2,53.7,12.9,1.5,62528,11.0434,1.3,30.1,48259,NA,NA
"85","Payson","AZ","Gila County",4007,34.23087,-111.32514,4007,47.9,35.2,63.1,7884,14095,36,62.4,6650,11525,3,3,3.3836689958,50.3,11.3,66.4,17.2,0.8,47492,10.7683,0.8,14.5,36930,NA,NA
"86","Safford","AZ","Graham County",4009,32.83395,-109.70758,4009,31.6,29,69.8,3487,8376,30.4,68.1,3608,8076,3,3,3.3891421551,46.3,8.1,53.8,28.2,2.6,48267,10.7845,0.6,13.5,40889,NA,NA
"87","Clifton","AZ","Greenlee County",4011,33.0509,-109.29618,4011,34.8,40,58.8,1165,1712,44.1,53.5,1310,1590,3,2,NA,47.9,4.6,48.8,46.2,1.8,53686,10.8909,0.4,13,45476,NA,NA
"88","Quartzsite","AZ","La Paz County",4012,33.66391,-114.22995,4012,53.9,34.7,63.2,1929,3509,32.9,65.1,1619,3205,3,3,3.4125464212,48.5,4.6,61.8,24.4,1.1,42951,10.6678,0.5,9.9,31640,NA,NA
"89","Phoenix","AZ","Maricopa County",4013,33.44838,-112.07404,4013,34.6,44.1,54.7,602166,746448,43.1,55.2,512008,654835,3,3,3.4286113998,50.5,414.9,57.5,31.8,5.2,73917,11.2107,3.2,28,55223,NA,NA
"90","Lake Havasu City","AZ","Mohave County",4015,34.4839,-114.32245,4015,47.6,32.7,65.5,22092,44333,27.8,70.4,18324,46442,3,3,3.3608919508,50,15,80,14.1,1.5,52982,10.8777,1.2,12.1,40157,NA,NA
"91","Show Low","AZ","Navajo County",4017,34.25421,-110.02983,4017,34.7,43.5,55.2,15579,19761,45.2,53.5,16157,19155,3,2,3.4313564026,50,10.8,42.3,10,1.4,48104,10.7811,0.4,13.3,38197,NA,NA
"92","Tucson","AZ","Pima County",4019,32.22174,-110.92648,4019,37.7,52.4,46.4,206254,182406,52.1,46.3,183470,162927,2,2,3.4244688148,50.9,106.7,56.3,33.7,4,61700,11.03,2.7,29,45885,NA,NA
"93","San Tan Valley","AZ","Pinal County",4021,33.1911,-111.528,4021,35.3,42.2,56.7,44254,59421,40.6,57.7,41428,58947,3,3,3.4125902966,47.5,70,58.1,29.9,4.6,59329,10.9909,1.7,18,49301,NA,NA
"94","Nogales","AZ","Santa Cruz County",4023,31.34038,-110.93425,4023,35.6,65.3,34,8683,4518,68.3,30.5,9486,4235,1,1,3.4206099419,52.4,38.3,18.5,80,0.7,52243,10.8637,0.7,16.3,37204,NA,NA
"95","Prescott","AZ","Yavapai County",4025,34.54002,-112.4685,4025,49.2,37,61.4,36889,61192,33.7,64.5,32624,62385,3,3,3.4383905748,51,26,82.3,13.2,1,59552,10.9946,0.9,23.9,43965,NA,NA
"96","Yuma","AZ","Yuma County",4027,32.72532,-114.6244,4027,33.8,42.6,56.3,18559,24577,41.3,57.5,14025,19500,3,3,3.4046172033,49.9,35.5,37.9,57,3.4,50321,10.8262,1.3,13,38854,NA,NA
"97","Stuttgart","AR","Arkansas County",5001,34.50037,-91.55263,5001,40.7,37.5,60,2619,4185,NA,NA,NA,NA,3,NA,3.2959448057,51.5,19.2,72,1.5,25,48747,10.7944,0.4,12.8,36341,NA,NA
"98","Crossett","AR","Ashley County",5003,33.12818,-91.96124,5003,40.3,34.4,62.6,2976,5406,36.1,61.5,2855,4866,3,3,3.3762301879,51.5,23.6,67.1,4.9,27.1,45439,10.7241,0.3,13.9,33007,NA,NA
"99","Mountain Home","AR","Baxter County",5005,36.33534,-92.38516,5005,50.6,32.7,64.3,6539,12852,26.7,70.8,5172,13688,3,3,3.3812081161,51.8,74.9,96,1.5,0.6,45463,10.7247,0.3,13.3,34534,NA,NA
"100","Rogers","AR","Benton County",5007,36.33202,-94.11854,5007,34.3,30.7,67.2,23331,51124,28.6,69,22144,53477,3,3,3.44114624,50.7,261.2,77.5,15,2.2,66853,11.1103,2.4,24.9,50377,NA,NA
