,cand_nm,economic_region,contb_receipt_dt_format,contb_receipt_amt
191,"Obama, Barack",Far West,2012-03-31 00:00:00,-2275.0
192,"Obama, Barack",Far West,2012-04-02 00:00:00,-1000.0
193,"Obama, Barack",Far West,2012-04-03 00:00:00,-2770.0
194,"Obama, Barack",Far West,2012-04-04 00:00:00,-3522.0
195,"Obama, Barack",Far West,2012-04-05 00:00:00,-35.0
196,"Obama, Barack",Far West,2012-04-06 00:00:00,-760.0
197,"Obama, Barack",Far West,2012-04-09 00:00:00,-13282.5
198,"Obama, Barack",Far West,2012-04-10 00:00:00,-2819.0
199,"Obama, Barack",Far West,2012-04-11 00:00:00,-4995.0
200,"Obama, Barack",Far West,2012-04-12 00:00:00,-150.0
201,"Obama, Barack",Far West,2012-04-13 00:00:00,-6442.0
202,"Obama, Barack",Far West,2012-04-14 00:00:00,-350.0
203,"Obama, Barack",Far West,2012-04-17 00:00:00,-6000.0
204,"Obama, Barack",Far West,2012-04-18 00:00:00,-1175.0
205,"Obama, Barack",Far West,2012-04-19 00:00:00,-4030.0
206,"Obama, Barack",Far West,2012-04-20 00:00:00,-6585.0
207,"Obama, Barack",Far West,2012-04-23 00:00:00,-300.0
208,"Obama, Barack",Far West,2012-04-24 00:00:00,-554.0
209,"Obama, Barack",Far West,2012-04-25 00:00:00,-5215.0
210,"Obama, Barack",Far West,2012-04-26 00:00:00,-1115.0
211,"Obama, Barack",Far West,2012-04-27 00:00:00,-1540.0
212,"Obama, Barack",Far West,2012-04-28 00:00:00,-5.0
213,"Obama, Barack",Far West,2012-04-30 00:00:00,-10645.0
214,"Obama, Barack",Far West,2012-05-01 00:00:00,-4169.0
215,"Obama, Barack",Far West,2012-05-02 00:00:00,-480.0
216,"Obama, Barack",Far West,2012-05-03 00:00:00,-1000.0
217,"Obama, Barack",Far West,2012-05-04 00:00:00,-410.0
218,"Obama, Barack",Far West,2012-05-06 00:00:00,-4940.0
219,"Obama, Barack",Far West,2012-05-08 00:00:00,-6940.0
220,"Obama, Barack",Far West,2012-05-09 00:00:00,-2350.0
221,"Obama, Barack",Far West,2012-05-10 00:00:00,-5231.0
222,"Obama, Barack",Far West,2012-05-11 00:00:00,-6615.0
223,"Obama, Barack",Far West,2012-05-12 00:00:00,-1375.0
224,"Obama, Barack",Far West,2012-05-14 00:00:00,-500.0
225,"Obama, Barack",Far West,2012-05-15 00:00:00,-2800.0
226,"Obama, Barack",Far West,2012-05-16 00:00:00,-2164.0
227,"Obama, Barack",Far West,2012-05-17 00:00:00,-1250.0
228,"Obama, Barack",Far West,2012-05-18 00:00:00,-1362.0
229,"Obama, Barack",Far West,2012-05-21 00:00:00,-8660.0
230,"Obama, Barack",Far West,2012-05-22 00:00:00,-47359.740000000005
231,"Obama, Barack",Far West,2012-05-23 00:00:00,-4754.0
232,"Obama, Barack",Far West,2012-05-24 00:00:00,-5660.0
233,"Obama, Barack",Far West,2012-05-25 00:00:00,-1417.0
234,"Obama, Barack",Far West,2012-05-28 00:00:00,-4446.0
235,"Obama, Barack",Far West,2012-05-29 00:00:00,-8990.0
236,"Obama, Barack",Far West,2012-05-30 00:00:00,-1110.0
237,"Obama, Barack",Far West,2012-05-31 00:00:00,-2432.33
238,"Obama, Barack",Far West,2012-06-01 00:00:00,-6110.0
239,"Obama, Barack",Far West,2012-06-04 00:00:00,-2085.0
240,"Obama, Barack",Far West,2012-06-05 00:00:00,-25060.0
241,"Obama, Barack",Far West,2012-06-06 00:00:00,-100.0
242,"Obama, Barack",Far West,2012-06-07 00:00:00,-270.0
243,"Obama, Barack",Far West,2012-06-08 00:00:00,-1025.0
244,"Obama, Barack",Far West,2012-06-09 00:00:00,-599.0
245,"Obama, Barack",Far West,2012-06-11 00:00:00,-3.0
246,"Obama, Barack",Far West,2012-06-12 00:00:00,-195.0
247,"Obama, Barack",Far West,2012-06-13 00:00:00,-12362.0
248,"Obama, Barack",Far West,2012-06-14 00:00:00,-9306.0
249,"Obama, Barack",Far West,2012-06-15 00:00:00,-5775.0
250,"Obama, Barack",Far West,2012-06-16 00:00:00,-4104.0
251,"Obama, Barack",Far West,2012-06-17 00:00:00,-515.0
252,"Obama, Barack",Far West,2012-06-18 00:00:00,-4852.0
253,"Obama, Barack",Far West,2012-06-19 00:00:00,-1796.0
254,"Obama, Barack",Far West,2012-06-20 00:00:00,-300.0
255,"Obama, Barack",Far West,2012-06-21 00:00:00,-5970.0
256,"Obama, Barack",Far West,2012-06-22 00:00:00,-6334.0
257,"Obama, Barack",Far West,2012-06-23 00:00:00,-3930.0
258,"Obama, Barack",Far West,2012-06-25 00:00:00,-7275.0
259,"Obama, Barack",Far West,2012-06-26 00:00:00,-520.0
260,"Obama, Barack",Far West,2012-06-27 00:00:00,-1476.12
261,"Obama, Barack",Far West,2012-06-28 00:00:00,-2416.0
262,"Obama, Barack",Far West,2012-06-29 00:00:00,-7201.0
263,"Obama, Barack",Far West,2012-06-30 00:00:00,-3860.0
264,"Obama, Barack",Far West,2012-07-01 00:00:00,-1942.0
265,"Obama, Barack",Far West,2012-07-02 00:00:00,-11266.5
266,"Obama, Barack",Far West,2012-07-03 00:00:00,-105.0
267,"Obama, Barack",Far West,2012-07-04 00:00:00,-1375.0
268,"Obama, Barack",Far West,2012-07-05 00:00:00,-2290.0
269,"Obama, Barack",Far West,2012-07-06 00:00:00,-3440.2
270,"Obama, Barack",Far West,2012-07-07 00:00:00,-350.0
271,"Obama, Barack",Far West,2012-07-08 00:00:00,-5025.0
272,"Obama, Barack",Far West,2012-07-09 00:00:00,-20343.839999999997
273,"Obama, Barack",Far West,2012-07-10 00:00:00,-2100.0
274,"Obama, Barack",Far West,2012-07-11 00:00:00,-1380.0
275,"Obama, Barack",Far West,2012-07-12 00:00:00,-2890.0
276,"Obama, Barack",Far West,2012-07-13 00:00:00,-355.0
277,"Obama, Barack",Far West,2012-07-16 00:00:00,-5941.0
278,"Obama, Barack",Far West,2012-07-17 00:00:00,-9835.0
279,"Obama, Barack",Far West,2012-07-18 00:00:00,-665.0
280,"Obama, Barack",Far West,2012-07-19 00:00:00,-2780.0
281,"Obama, Barack",Far West,2012-07-20 00:00:00,-900.0
